coin,exchange,time,close,high,low,open,volumefrom,volumeto,RSI,MFI,UPPERBAND,MIDDLEBAND,LOWERBAND,Accumulation/Distribution Oscillator,Accumulation/Distribution Line (AD)
CHAT,Binance,2018-03-05 05:30:00,1.567e-05,1.989e-05,1.512e-05,1.631e-05,10900508,189.61,17.60672103050711,0.0,2.0274999999999998e-05,2.0274999999999998e-05,2.0274999999999998e-05,-211.09867322354648,-2394.2093225658436
CHAT,Binance,2018-03-06 05:30:00,1.495e-05,1.604e-05,1.47e-05,1.567e-05,2299252,35.34,16.662052148855675,0.0,1.9783499999999998e-05,1.9783499999999998e-05,1.9783499999999998e-05,-205.19588371122472,-2416.362755401665
CHAT,Binance,2018-03-07 05:30:00,1.294e-05,1.509e-05,1.249e-05,1.495e-05,4751028,64.39,14.347689827900368,0.0,1.9136e-05,1.9136e-05,1.9136e-05,-197.52275661530302,-2458.4639092478187
CHAT,Binance,2018-03-08 05:30:00,1.242e-05,1.396e-05,1.182e-05,1.294e-05,3324084,42.22,13.813141125954475,0.0,1.8502e-05,1.8502e-05,1.8502e-05,-182.32789199803574,-2477.0091428926785
CHAT,Binance,2018-03-09 05:30:00,1.209e-05,1.25e-05,1.131e-05,1.242e-05,1854142,22.05,13.470157603263292,0.0,1.79015e-05,1.79015e-05,1.79015e-05,-157.35513099703303,-2470.1532605397374
CHAT,Binance,2018-03-10 05:30:00,1.196e-05,1.4e-05,1.16e-05,1.209e-05,4608145,57.88,13.329741591453912,0.0,1.73585e-05,1.73585e-05,1.73585e-05,-145.72544413325613,-2510.6692605397375
CHAT,Binance,2018-03-11 05:30:00,1.188e-05,1.283e-05,1.16e-05,1.196e-05,2647086,31.94,13.238286675232985,0.0,1.68875e-05,1.68875e-05,1.68875e-05,-133.25587184390633,-2528.0674719218514
CHAT,Binance,2018-03-12 05:30:00,1.153e-05,1.215e-05,1.129e-05,1.188e-05,2494530,29.08,12.823749861661266,0.0,1.6489e-05,1.6489e-05,1.6489e-05,-120.12892738877463,-2540.916774247433
CHAT,Binance,2018-03-13 05:30:00,1.145e-05,1.24e-05,1.124e-05,1.153e-05,2406022,27.93,12.725661312743123,0.0,1.606e-05,1.606e-05,1.606e-05,-109.5071792832291,-2558.734188040536
CHAT,Binance,2018-03-14 05:30:00,1.147e-05,1.164e-05,1.115e-05,1.146e-05,963470,9.03,12.90501945220798,0.0,1.5646e-05,1.5646e-05,1.5646e-05,-94.32717512339423,-2555.9699023262506
