coin,exchange,time,open,high,low,close,volumeto,RSI,MFI,UPPERBAND,MIDDLEBAND,LOWERBAND,Accumulation/Distribution Oscillator,Accumulation/Distribution Line (AD)
DTB,Bittrex,2017-11-28 05:30:00,6.979999999999999e-05,7.85e-05,6.31e-05,6.49e-05,18.53,54.67455621301775,0.0,,,,-10.4651847269661,-26.042925004287778
DTB,Bittrex,2017-11-29 05:30:00,6.49e-05,7.5e-05,5.56e-05,5.96e-05,15.3,51.215144538245085,0.0,,,,-15.291372905824613,-35.033646653772315
DTB,Bittrex,2017-11-30 05:30:00,5.96e-05,6.07e-05,5.31e-05,5.67e-05,4.19,49.37426882094413,0.0,,,,-15.945765269852052,-35.254172969561786
DTB,Bittrex,2017-12-01 05:30:00,5.67e-05,6.48e-05,5.42e-05,6.02e-05,5.34,51.633821995125004,0.0,,,,-14.539447979146018,-34.54888995069386
DTB,Bittrex,2017-12-02 05:30:00,6.02e-05,6.96e-05,5.629999999999999e-05,6.459999999999998e-05,19.05,54.38984070700159,0.0,,,,-11.1384209936956,-29.822198221370584
DTB,Bittrex,2017-12-03 05:30:00,6.459999999999998e-05,6.759999999999999e-05,6.19e-05,6.38e-05,6.78,53.7896884896226,0.0,6.369000000000001e-05,6.369000000000001e-05,6.369000000000001e-05,-9.453598954766278,-32.08219822137056
DTB,Bittrex,2017-12-04 05:30:00,6.38e-05,6.97e-05,5.920000000000001e-05,6.96e-05,16.77,57.455030734374745,0.0,6.432000000000001e-05,6.432000000000001e-05,6.432000000000001e-05,-2.670662761134622,-15.631626792799143
DTB,Bittrex,2017-12-05 05:30:00,6.96e-05,6.96e-05,6.35e-05,6.4e-05,8.92,53.07748502627846,0.0,6.476e-05,6.476e-05,6.476e-05,-2.02594381391987,-23.089331710831935
DTB,Bittrex,2017-12-06 05:30:00,6.4e-05,6.53e-05,5.8899999999999995e-05,6.36e-05,10.52,52.76821935535634,0.0,6.539e-05,6.539e-05,6.539e-05,-0.008984352430211118,-18.158081710831933
DTB,Bittrex,2017-12-07 05:30:00,6.36e-05,6.8e-05,5.15e-05,5.15e-05,18.02,44.349921358903394,0.0,6.5495e-05,6.5495e-05,6.5495e-05,-4.916684177054421,-36.17808171083193
DTB,Bittrex,2017-12-08 05:30:00,5.15e-05,5.98e-05,5.0600000000000003e-05,5.11e-05,7.73,44.09945787869049,0.0,6.5635e-05,6.5635e-05,6.5635e-05,-8.669611828344362,-43.06786431952759
DTB,Bittrex,2017-12-09 05:30:00,5.11e-05,6.01e-05,5.11e-05,5.629999999999999e-05,8.91,48.19534848606144,0.0,6.604500000000001e-05,6.604500000000001e-05,6.604500000000001e-05,-8.97575388311349,-41.6818643195276
DTB,Bittrex,2017-12-10 05:30:00,5.629999999999999e-05,5.629999999999999e-05,4.31e-05,4.66e-05,23.01,42.011565146033504,0.0,6.583999999999999e-05,6.583999999999999e-05,6.583999999999999e-05,-11.72383850292195,-52.489591592254854
DTB,Bittrex,2017-12-11 05:30:00,4.66e-05,5.5299999999999996e-05,4.210000000000001e-05,4.74e-05,10.23,42.66495477312443,0.0,6.45e-05,6.45e-05,6.45e-05,-12.423387801668866,-54.504591592254855
DTB,Bittrex,2017-12-12 05:30:00,4.74e-05,5.3e-05,4.36e-05,4.8e-05,11.67,43.18204035612616,0.0,6.220000000000001e-05,6.220000000000001e-05,6.220000000000001e-05,-11.81717977460221,-55.24948520927613
DTB,Bittrex,2017-12-13 05:30:00,4.8e-05,5.9e-05,4.8e-05,5.6999999999999996e-05,9.95,50.407045990707886,0.0,6.0835e-05,6.0835e-05,6.0835e-05,-8.480227089805318,-48.91766702745795
DTB,Bittrex,2017-12-14 05:30:00,5.6999999999999996e-05,6.99e-05,5.12e-05,5.429999999999999e-05,25.58,48.41790974645482,0.0,5.9564999999999996e-05,5.9564999999999996e-05,5.9564999999999996e-05,-11.784749136450841,-66.0165975087414
DTB,Bittrex,2017-12-15 05:30:00,5.429999999999999e-05,6.620000000000001e-05,4.7e-05,6.43e-05,20.11,55.432641905238775,0.0,5.913999999999999e-05,5.913999999999999e-05,5.913999999999999e-05,-6.933018650704241,-49.88670167540808
DTB,Bittrex,2017-12-16 05:30:00,6.43e-05,6.500000000000001e-05,5.01e-05,5.479999999999999e-05,20.15,48.662266124728575,0.0,5.8405e-05,5.8405e-05,5.8405e-05,-6.684556131089835,-57.32462113849535
DTB,Bittrex,2017-12-17 05:30:00,5.479999999999999e-05,5.9e-05,5e-05,5.5299999999999996e-05,18.72,49.015220705660816,0.0,5.7680000000000003e-05,5.7680000000000003e-05,5.7680000000000003e-05,-4.916316361148503,-53.99662113849537
DTB,Bittrex,2017-12-18 05:30:00,5.5299999999999996e-05,6.0599999999999996e-05,5.42e-05,6.0599999999999996e-05,9.18,52.725444697673616,0.0,5.746500000000001e-05,5.746500000000001e-05,5.746500000000001e-05,-0.8250986042499164,-44.81662113849537
DTB,Bittrex,2017-12-19 05:30:00,6.0599999999999996e-05,6.27e-05,5.56e-05,5.8599999999999995e-05,15.19,51.21097211604047,0.0,5.741500000000002e-05,5.741500000000002e-05,5.741500000000002e-05,0.17478753432989436,-47.17000142018556
DTB,Bittrex,2017-12-20 05:30:00,5.8599999999999995e-05,6.670000000000001e-05,5.5e-05,6.659999999999999e-05,18.88,56.58308136654375,0.0,5.791000000000001e-05,5.791000000000001e-05,5.791000000000001e-05,6.4725263924850225,-28.61273646292065
DTB,Bittrex,2017-12-21 05:30:00,6.659999999999999e-05,7.45e-05,6.3e-05,6.97e-05,22.29,58.49041829956111,0.0,5.838500000000001e-05,5.838500000000001e-05,5.838500000000001e-05,9.632229415377907,-24.930040810746725
DTB,Bittrex,2017-12-22 05:30:00,6.97e-05,7e-05,6.22e-05,6.49e-05,7.79,54.49819550357577,0.0,5.840000000000001e-05,5.840000000000001e-05,5.840000000000001e-05,9.286520635233309,-27.32696388766978
DTB,Bittrex,2017-12-23 05:30:00,6.49e-05,7.87e-05,6.4e-05,7.75e-05,27.05,61.857733193365085,0.0,5.908500000000002e-05,5.908500000000002e-05,5.908500000000002e-05,15.502488544049044,-4.693290418282029
DTB,Bittrex,2017-12-24 05:30:00,7.75e-05,8.18e-05,7.2e-05,7.709999999999999e-05,12.92,61.517563849826665,0.0,5.9460000000000024e-05,5.9460000000000024e-05,5.9460000000000024e-05,16.803859574170495,-4.1659434795065415
DTB,Bittrex,2017-12-25 05:30:00,7.709999999999999e-05,9.37e-05,7.7e-05,8.6e-05,20.99,65.99800036406562,0.0,6.0560000000000016e-05,6.0560000000000016e-05,6.0560000000000016e-05,16.32850888296189,-2.531991383698153
DTB,Bittrex,2017-12-26 05:30:00,8.6e-05,9.690000000000001e-05,6.9e-05,7.7e-05,31.93,58.57154406626489,0.0,6.123000000000002e-05,6.123000000000002e-05,6.123000000000002e-05,10.316354509824468,-16.15088027258704
DTB,Bittrex,2017-12-27 05:30:00,7.7e-05,8.1e-05,6.409999999999999e-05,7.01e-05,23.58,53.59249828212307,0.0,6.216000000000003e-05,6.216000000000003e-05,6.216000000000003e-05,4.743639441007179,-22.98768500631484
DTB,Bittrex,2017-12-28 05:30:00,7.01e-05,8.36e-05,6.7e-05,8.03e-05,30.71,59.12423054640761,0.0,6.362000000000002e-05,6.362000000000002e-05,6.362000000000002e-05,7.91901605458127,-4.4876850063148375
DTB,Bittrex,2017-12-29 05:30:00,8.03e-05,8.97e-05,7.780000000000001e-05,8.75e-05,22.45,62.52036821094264,0.0,6.518000000000001e-05,6.518000000000001e-05,6.518000000000001e-05,13.000128557311411,9.661474657550706
DTB,Bittrex,2017-12-30 05:30:00,8.75e-05,9.01e-05,8e-05,8.070000000000001e-05,13.94,57.64878005102043,0.0,6.688500000000001e-05,6.688500000000001e-05,6.688500000000001e-05,10.07629655749359,-2.3462481147265084
