,coin,exchange,unix_timestamp,close,bid_amount_btc_total,ask_amount_btc_total
0,DASH,Kucoin,1527897600,0.04168,0.5814232414717919,0.5298858396952859
0,CLAM,Bittrex,1527897600,0.0004109,1.293643315655594,2.4565889447003086
0,NBT,Bittrex,1527897600,5.01e-05,8.602892722089416,4.887475923586215
0,XEM,Binance,1527897600,3.39e-05,18.41362797,13.31409515
0,XEM,Bittrex,1527897600,3.3799999999999995e-05,31.177513366632546,22.556243543407167
0,DMD,Bittrex,1527897600,0.0006803,12.10076041160996,2.7366220321118355
0,MUE,Bittrex,1527897600,1.34e-05,31.39947039203972,8.23754025061487
0,GAM,Bittrex,1527897600,0.0008818,5.635893290758766,0.29825368819169024
0,SPHR,Bittrex,1527897600,0.0002766,3.6711779352080605,2.2279297282051496
0,OK,Bittrex,1527897600,1.4999999999999999e-05,5.336869443213913,6.127390452044287
