,circulating_supply,id,last_updated,market_cap_BTC,market_cap_USD,max_supply,name,price_BTC,rank,symbol,total_supply,volume_24hour_BTC,volume_24hour_USD,website_slug
95,40000000.0,2092.0,1527678265.0,19343.0,145290400.0,,Nuls,0.0004835676,96.0,NULS,40000000.0,464.1211069071,3486190.0,nuls
96,74836171.0,2044.0,1527678265.0,19151.0,143847095.0,,Enigma,0.0002558997,97.0,ENG,150000000.0,598.5131893207,4495660.0,enigma-project
97,4859922.0,1414.0,1527678254.0,19093.0,143417274.0,21400000.0,ZCoin,0.0039287321,98.0,XZC,4859922.0,147.0595283423,1104620.0,zcoin
98,812289956.0,2473.0,1527678274.0,18762.0,140925809.0,,All Sports,2.30972e-05,99.0,SOC,1500000000.0,4660.6615561987,35008000.0,all-sports
99,4165148496.0,2297.0,1527678271.0,18669.0,140228887.0,,Storm,4.4822e-06,100.0,STORM,10000000000.0,2687.4688805519,20186600.0,storm
100,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,
103,133214575156.0,2682.0,1527678280.0,18450.0,138581790.0,,Holo,1.385e-07,101.0,HOT,177619433541.0,269.7719992864,2026360.0,holo
104,57523897.0,789.0,1527678247.0,18327.0,137661013.0,,Nexus,0.0003185979,102.0,NXS,57523897.0,797.6070974974,5991130.0,nexus
105,998999942.0,66.0,1527678244.0,18006.0,135246610.0,1000000000.0,Nxt,1.80236e-05,103.0,NXT,998999942.0,344.7209434218,2589330.0,nxt
106,8745102.0,1087.0,1527678256.0,17837.0,133983708.0,,Factom,0.0020397051,104.0,FCT,8745102.0,249.7450535055,1875930.0,factom
107,629990099.0,2605.0,1527678277.0,17528.0,131657851.0,,BnkToTheFuture,2.78223e-05,105.0,BFT,1000000000.0,1057.9653805293,7946780.0,bnktothefuture
108,525172482.0,2289.0,1527678271.0,16893.0,126888499.0,,Gifto,3.21663e-05,106.0,GTO,1000000000.0,1038.9994914383,7804320.0,gifto
109,373358345.0,2132.0,1527678267.0,16279.0,122279712.0,,Power Ledger,4.36022e-05,107.0,POWR,1000000000.0,567.9382483645,4266000.0,power-ledger
110,3952063.0,1698.0,1527678258.0,16233.0,121932194.0,21000000.0,ZenCash,0.0041074743,108.0,ZEN,3952063.0,422.7146010453,3175170.0,zencash
111,150000000.0,2474.0,1527678274.0,16203.0,121709850.0,1000000000.0,Matrix AI Network,0.0001080226,109.0,MAN,250000000.0,259.6726566889,1950500.0,matrix-ai-network
112,350000000.0,1975.0,1527678263.0,16133.0,121181200.0,,ChainLink,4.60943e-05,110.0,LINK,1000000000.0,268.6417143055,2017870.0,chainlink
113,625023293.0,2300.0,1527678270.0,16078.0,120765751.0,,WAX,2.57234e-05,111.0,WAX,1850000000.0,270.0981710418,2028810.0,wax
114,58946168.0,1996.0,1527678263.0,16027.0,120386349.0,,SALT,0.0002718954,112.0,SALT,120000000.0,582.8489571823,4378000.0,salt
115,19194224739.0,2591.0,1527678277.0,15970.0,119956995.0,,Dropil,8.32e-07,113.0,DROP,30000000000.0,9.7444677276,73194.4,dropil
116,46448735.0,2457.0,1527678274.0,15614.0,117286307.0,,True Chain,0.0003361659,114.0,TRUE,100000000.0,24455.1600371703,183692000.0,true-chain
117,104342466.0,2307.0,1527678271.0,14776.0,110989081.0,,Bibox Token,0.0001416118,115.0,BIX,269944749.0,14084.36266039,105793000.0,bibox-token
118,560000010.0,2694.0,1527678280.0,14543.0,109239762.0,,Nexo,2.59701e-05,116.0,NEXO,1000000000.0,950.2847679122,7137950.0,nexo
