,Close,High,Low,Open,Time,Volume,Symbol,Exchange
116,4.36e-06,4.78e-06,4.3e-06,4.47e-06,2017-10-27 05:30:00,3.933929382603465,ADT/BTC,Bittrex
117,4.95e-06,5.95e-06,4.37e-06,4.41e-06,2017-10-28 05:30:00,36.379550051794226,ADT/BTC,Bittrex
118,4.8e-06,5.97e-06,4.7e-06,4.94e-06,2017-10-29 05:30:00,12.941441340669648,ADT/BTC,Bittrex
119,4.55e-06,4.96e-06,4.48e-06,4.85e-06,2017-10-30 05:30:00,9.428719350851026,ADT/BTC,Bittrex
120,4.4e-06,5.41e-06,4.12e-06,4.55e-06,2017-10-31 05:30:00,96.52111057880114,ADT/BTC,Bittrex
121,3.71e-06,7.97e-06,3.69e-06,4.4e-06,2017-11-01 05:30:00,245.52188695620637,ADT/BTC,Bittrex
122,3.09e-06,5.1e-06,2.31e-06,3.71e-06,2017-11-02 05:30:00,68.42646196371618,ADT/BTC,Bittrex
123,2.94e-06,3.24e-06,2.81e-06,3.2e-06,2017-11-03 05:30:00,15.03100951564129,ADT/BTC,Bittrex
124,2.71e-06,3.02e-06,2.62e-06,2.97e-06,2017-11-04 05:30:00,15.648210897660846,ADT/BTC,Bittrex
125,2.64e-06,3.5e-06,2.35e-06,2.7e-06,2017-11-05 05:30:00,43.29465455577634,ADT/BTC,Bittrex
126,2.77e-06,2.99e-06,2.51e-06,2.58e-06,2017-11-06 05:30:00,28.4540318070034,ADT/BTC,Bittrex
127,2.66e-06,2.85e-06,2.62e-06,2.77e-06,2017-11-07 05:30:00,6.4220066114838,ADT/BTC,Bittrex
