id,bid_amount,bid_amount_btc,bid_price,ask_amount,ask_amount_btc,ask_price,coin,exchange,timestamp
11779,,,,7.0,0.0005635,8.05e-05,UNB,Bittrex,1527917898928
11780,,,,10.0,0.0008056000000000001,8.056e-05,UNB,Bittrex,1527917898928
11781,,,,391.39022745,0.0315499662347445,8.061e-05,UNB,Bittrex,1527917898928
11782,,,,229.41105691,0.018513472292637,8.07e-05,UNB,Bittrex,1527917898928
11783,,,,585.13369945,0.047337316285505,8.09e-05,UNB,Bittrex,1527917898928
11784,,,,6.265625,0.000511275,8.16e-05,UNB,Bittrex,1527917898928
11785,,,,5366.17267427,0.44002615929014005,8.2e-05,UNB,Bittrex,1527917898928
11786,,,,9.75550122,0.0008038533005279999,8.24e-05,UNB,Bittrex,1527917898928
11787,,,,594.59355784,0.0490480225862216,8.249e-05,UNB,Bittrex,1527917898928
11788,,,,292.86463803,0.024161332637474997,8.25e-05,UNB,Bittrex,1527917898928
11789,,,,63.0,0.0052044299999999995,8.261e-05,UNB,Bittrex,1527917898928
11790,,,,19.61776039,0.001624350560292,8.28e-05,UNB,Bittrex,1527917898928
11791,,,,1571.82915515,0.13046181987744998,8.3e-05,UNB,Bittrex,1527917898928
11792,,,,9.30096875,0.0007749567162499999,8.332e-05,UNB,Bittrex,1527917898928
11793,,,,388.53544534,0.032508760711597806,8.367e-05,UNB,Bittrex,1527917898928
11794,,,,10.0,0.0008368,8.368e-05,UNB,Bittrex,1527917898928
11795,,,,6.11,0.0005118347000000001,8.377e-05,UNB,Bittrex,1527917898928
11796,,,,51.16040518,0.0042933812027055995,8.392e-05,UNB,Bittrex,1527917898928
11797,,,,1474.43693694,0.12385270270295999,8.4e-05,UNB,Bittrex,1527917898928
11798,,,,6.0793698,0.0005112750001800001,8.41e-05,UNB,Bittrex,1527917898928
11799,,,,9.21010264,0.0007749380361296,8.414e-05,UNB,Bittrex,1527917898928
11800,,,,4143.36587653,0.3497415136378973,8.441e-05,UNB,Bittrex,1527917898928
11801,,,,108.10810811,0.009145945946106,8.46e-05,UNB,Bittrex,1527917898928
11802,,,,347.49604036,0.029432914618491998,8.47e-05,UNB,Bittrex,1527917898928
11803,,,,1317.17945332,0.1117890202032684,8.487e-05,UNB,Bittrex,1527917898928
11804,,,,7.72140064,0.0006553924863232,8.488e-05,UNB,Bittrex,1527917898928
11805,,,,5529.8553593,0.46981651132612795,8.496e-05,UNB,Bittrex,1527917898928
11806,,,,9.11934738,0.0007749621403524001,8.498e-05,UNB,Bittrex,1527917898928
11807,,,,3461.58845337,0.29423501853645,8.5e-05,UNB,Bittrex,1527917898928
11808,,,,61.91074796,0.005267366436436801,8.508e-05,UNB,Bittrex,1527917898928
11809,,,,1346.24212663,0.114834453401539,8.53e-05,UNB,Bittrex,1527917898928
11810,,,,19.0,0.0016260200000000002,8.558e-05,UNB,Bittrex,1527917898928
11811,,,,9.02949559,0.0007750016064896999,8.583e-05,UNB,Bittrex,1527917898928
11812,,,,53.87299537,0.0046249966525145,8.585e-05,UNB,Bittrex,1527917898928
11813,,,,3815.25892404,0.3276925889857956,8.589e-05,UNB,Bittrex,1527917898928
11814,,,,204.94952494,0.017605164192346,8.59e-05,UNB,Bittrex,1527917898928
11815,,,,20.85221402,0.0017928733614396002,8.598e-05,UNB,Bittrex,1527917898928
11816,,,,260.18964479,0.022373707555492096,8.599e-05,UNB,Bittrex,1527917898928
11817,,,,611.09347995,0.0525540392757,8.6e-05,UNB,Bittrex,1527917898928
11818,,,,109.42544975,0.0094248139869675,8.613e-05,UNB,Bittrex,1527917898928
11819,,,,85.99301315,0.0074082980828724995,8.615e-05,UNB,Bittrex,1527917898928
11820,,,,2000.0,0.17232,8.616e-05,UNB,Bittrex,1527917898928
11821,,,,375.0,0.032325,8.62e-05,UNB,Bittrex,1527917898928
11822,,,,784.84027591,0.06795931949104689,8.659e-05,UNB,Bittrex,1527917898928
11823,,,,5.90386836,0.000511274999976,8.66e-05,UNB,Bittrex,1527917898928
11824,,,,213.57313236,0.0185039761876704,8.664e-05,UNB,Bittrex,1527917898928
11825,,,,2253.80526251,0.1953147640491166,8.666e-05,UNB,Bittrex,1527917898928
11826,,,,8.94052898,0.0007749650519864001,8.668e-05,UNB,Bittrex,1527917898928
11827,,,,8.0,0.0006936,8.67e-05,UNB,Bittrex,1527917898928
11828,,,,820.82551595,0.071214821763822,8.676e-05,UNB,Bittrex,1527917898928
11829,,,,80.0,0.0069576,8.697e-05,UNB,Bittrex,1527917898928
11830,,,,296.875,0.0258221875,8.698e-05,UNB,Bittrex,1527917898928
11831,220.41133122,0.0055102832805,2.5e-05,2016.47215714,0.050593286422642596,2.509e-05,EBST,Bittrex,1527917899280
11832,277.39974475,0.006907253644275,2.49e-05,631.88208665,0.0161319496721745,2.553e-05,EBST,Bittrex,1527917899280
11833,328.48217166,0.0081496426788846,2.481e-05,406.22625573,0.010375018571344199,2.554e-05,EBST,Bittrex,1527917899280
11834,55.03567134,0.001364884649232,2.48e-05,6458.79947368,0.165022326552524,2.555e-05,EBST,Bittrex,1527917899280
11835,697.56834007,0.017264816416732498,2.475e-05,3425.75588558,0.0878021233474154,2.563e-05,EBST,Bittrex,1527917899280
11836,23.09565215,0.00056815304289,2.46e-05,866.4787593,0.022311828051975,2.575e-05,EBST,Bittrex,1527917899280
11837,100.0,0.002456,2.456e-05,23.49256068,0.0006054032887236,2.577e-05,EBST,Bittrex,1527917899280
11838,845.53739414,0.020715666156429998,2.45e-05,25.0,0.00064625,2.585e-05,EBST,Bittrex,1527917899280
11839,1668.28520125,0.040789573170562504,2.445e-05,150.0,0.0038805000000000003,2.587e-05,EBST,Bittrex,1527917899280
11840,118.77603306,0.002874380000052,2.42e-05,70.19899497,0.0018209619295217999,2.594e-05,EBST,Bittrex,1527917899280
11841,489.02273666,0.0118294599998054,2.419e-05,39.0,0.00101361,2.599e-05,EBST,Bittrex,1527917899280
11842,103.21812913,0.0024937499997807998,2.416e-05,5082.11379882,0.13213495876932,2.6e-05,EBST,Bittrex,1527917899280
11843,6171.31065825,0.148975439290155,2.414e-05,191.82931496,0.0050124999999048,2.613e-05,EBST,Bittrex,1527917899280
11844,4200.0,0.101346,2.413e-05,279.84822727,0.0073292250722013005,2.619e-05,EBST,Bittrex,1527917899280
11845,215.96551724,0.0051982899999668,2.407e-05,14.32297942,0.0003754052905982,2.621e-05,EBST,Bittrex,1527917899280
11846,239.81130507,0.0057698599999842,2.406e-05,39.75687525,0.0010424252690549999,2.622e-05,EBST,Bittrex,1527917899280
11847,41667.00468087,1.0020914625749233,2.405e-05,20.0,0.0005248,2.624e-05,EBST,Bittrex,1527917899280
11848,650.03708489,0.015620391149906699,2.403e-05,276.14868446,0.007248902967075001,2.625e-05,EBST,Bittrex,1527917899280
11849,50.0,0.001201,2.402e-05,5374.38937295,0.1412926966148555,2.629e-05,EBST,Bittrex,1527917899280
11850,20.77272458,0.0004987531171658,2.401e-05,13503.2193842,0.35513466980445996,2.63e-05,EBST,Bittrex,1527917899280
11851,10529.81135398,0.25271547249552,2.4e-05,618.84852837,0.0162819047814147,2.631e-05,EBST,Bittrex,1527917899280
11852,824.540631,0.01978072973769,2.399e-05,256.47770941,0.0067787058597062995,2.643e-05,EBST,Bittrex,1527917899280
11853,136.900032,0.0032828627673600003,2.398e-05,94.75339239,0.0025071747626394,2.646e-05,EBST,Bittrex,1527917899280
11854,444.659705,0.010658493128849998,2.397e-05,11409.81989094,0.30201793251318176,2.647e-05,EBST,Bittrex,1527917899280
11855,417.35181923,0.0099997495887508,2.396e-05,11003.95522126,0.2914947738111774,2.649e-05,EBST,Bittrex,1527917899280
11856,2091.21922642,0.049875578550117,2.385e-05,8489.22574869,0.224964482340285,2.65e-05,EBST,Bittrex,1527917899280
11857,1261.12577705,0.030065238524871998,2.384e-05,336.29529934,0.008958906774417599,2.664e-05,EBST,Bittrex,1527917899280
11858,1011.23393831,0.024097704749927302,2.383e-05,1414.10075972,0.0376999262541352,2.666e-05,EBST,Bittrex,1527917899280
11859,1005.03778338,0.023940000000111598,2.382e-05,1913.13030451,0.051271892160868006,2.68e-05,EBST,Bittrex,1527917899280
11860,1479.22068,0.03513149115,2.375e-05,1750.0,0.046987499999999995,2.685e-05,EBST,Bittrex,1527917899280
11861,3153.07477215,0.074727872099955,2.37e-05,21671.75893615,0.5827535977930735,2.689e-05,EBST,Bittrex,1527917899280
11862,144.40376377,0.0034079288249720006,2.36e-05,27370.26174962,0.736260041064778,2.69e-05,EBST,Bittrex,1527917899280
11863,3291.10642433,0.0776372005499447,2.359e-05,1689.68670525,0.0454694692382775,2.691e-05,EBST,Bittrex,1527917899280
11864,565.95359457,0.0133338666880692,2.356e-05,100.0,0.002695,2.695e-05,EBST,Bittrex,1527917899280
11865,27.80250218,0.00065335880123,2.35e-05,15557.30683953,0.42004728466730995,2.7e-05,EBST,Bittrex,1527917899280
11866,27.92131629,0.000653358801186,2.34e-05,50.00055585,0.0013510150190669998,2.702e-05,EBST,Bittrex,1527917899280
11867,2135.97430407,0.049875000000034496,2.335e-05,403.4730835,0.01093412056285,2.71e-05,EBST,Bittrex,1527917899280
11868,572.02345294,0.013333866688031399,2.331e-05,5175.74925946,0.1403145624239606,2.711e-05,EBST,Bittrex,1527917899280
11869,4125.245,0.0958706938,2.324e-05,5247.18551461,0.1424610867216615,2.715e-05,EBST,Bittrex,1527917899280
11870,6153.47873762,0.1429453110749126,2.323e-05,300.0,0.008148,2.716e-05,EBST,Bittrex,1527917899280
11871,2772.6247093,0.06438034574994601,2.322e-05,5797.22358669,0.1575105648503673,2.717e-05,EBST,Bittrex,1527917899280
11872,28.4273361,0.0006595141975200001,2.32e-05,3876.835573,0.1054499275856,2.72e-05,EBST,Bittrex,1527917899280
11873,600.0,0.013866,2.311e-05,291.82,0.007952095000000001,2.725e-05,EBST,Bittrex,1527917899280
11874,11616.55205361,0.268342352438391,2.31e-05,20.00058885,0.0005454160579395,2.727e-05,EBST,Bittrex,1527917899280
11875,690.58113285,0.0158902718668785,2.301e-05,2364.0,0.06448992,2.728e-05,EBST,Bittrex,1527917899280
11876,4117.44629422,0.09470126476705999,2.3e-05,393.41936685,0.010740348715005,2.73e-05,EBST,Bittrex,1527917899280
11877,11320.45486457,0.2593516209472987,2.291e-05,20.0,0.0005463999999999999,2.732e-05,EBST,Bittrex,1527917899280
11878,28.70367293,0.000657314110097,2.29e-05,1962.0,0.05364108,2.734e-05,EBST,Bittrex,1527917899280
11879,22.19894661,0.0005041380775131,2.271e-05,4208.7971058,0.11527895272786201,2.739e-05,EBST,Bittrex,1527917899280
11880,28.99445706,0.000658174175262,2.27e-05,952.9379562,0.02611049999988,2.74e-05,EBST,Bittrex,1527917899280
11881,7493.60059951,0.16980498958489662,2.266e-05,1942.0,0.053249639999999994,2.742e-05,EBST,Bittrex,1527917899280
11882,144.60902654,0.003268163999804,2.26e-05,350.0,0.009604,2.744e-05,EBST,Bittrex,1527917899280
